Name,Type,Capacity,Speed,URL
USB Flash Drive Silicon Power Blaze B20 16GB,USB 3.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B20_16GB-843905.html
USB Flash Drive ADATA DashDrive UV150 32GB,USB 3.0,32 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_DashDrive_UV150_32GB-866197.html
USB Flash Drive Apacer AH353 32GB,USB 3.0,32 Гб,80 Мб/с,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH353_32GB-1279789.html
USB Flash Drive OltraMax 50 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_50_32GB-1280055.html
USB Flash Drive OltraMax 50 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_50_16GB-1280057.html
USB Flash Drive EXPLOYD 530 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/exployd/EXPLOYD_530_64GB-1280067.html
USB Flash Drive Silicon Power Blaze B06 32GB,USB 3.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B06_32GB-1280293.html
USB Flash Drive Silicon Power Blaze B05 64GB,USB 3.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B05_64GB-1280373.html
USB Flash Drive Kingston DataTraveler microDuo 64GB,USB 2.0/microUSB,64 Гб,,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_microDuo_64GB-1280405.html
USB Flash Drive Silicon Power Ultima U05 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U05_64GB-1280431.html
USB Flash Drive Silicon Power Ultima U05 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U05_32GB-1280433.html
USB Flash Drive Silicon Power Ultima U05 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U05_16GB-1280435.html
USB Flash Drive Silicon Power Ultima U05 8GB,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U05_8GB-1280437.html
USB Flash Drive Transcend JetFlash 790 32Gb,USB 3.0,32 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_790_32Gb-1318959.html
USB Flash Drive Transcend JetFlash 790 16Gb,USB 3.0,16 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_790_16Gb-1318961.html
USB Flash Drive Transcend JetFlash 590 32Gb,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_590_32Gb-1318969.html
USB Flash Drive Transcend JetFlash 590 16Gb,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_590_16Gb-1318971.html
USB Flash Drive Silicon Power Jewel J80 8GB,USB 3.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Jewel_J80_8GB-1602835.html
USB Flash Drive Mirex UNIT 8GB,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_UNIT_8GB-1647899.html
USB Flash Drive Mirex UNIT 4GB,USB 2.0,4 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_UNIT_4GB-1647901.html
USB Flash Drive Mirex UNIT 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_UNIT_64GB-1648843.html
