Name,Type,Capacity,Speed,URL
USB Flash Drive SanDisk Extreme Go 256GB,USB 3.2 Gen 1,256 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Extreme_Go_256GB-4487982.html
USB Flash Drive SanDisk Ultra Dual Drive Go Type-C 256GB,USB 3.1/USB Type-C,256 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Drive_Go_Type_C_256GB-4487999.html
USB Flash Drive ADATA C906 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_C906_64GB-4488033.html
USB Flash Drive EXPLOYD 570 128GB,USB 2.0,128 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/exployd/EXPLOYD_570_128GB-4488066.html
USB Flash Drive EXPLOYD 580 128GB,USB 2.0,128 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/exployd/EXPLOYD_580_128GB-4488069.html
USB Flash Drive EXPLOYD 650 128GB,USB 2.0,128 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/exployd/EXPLOYD_650_128GB-4488079.html
USB Flash Drive Silicon Power Blaze B03 128GB,USB 3.2 Gen 1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B03_128GB-4488107.html
USB Flash Drive Silicon Power Blaze B03 64GB,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B03_64GB-4488108.html
USB Flash Drive Silicon Power Blaze B32 128GB,USB 3.2 Gen 1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B32_128GB-4488111.html
USB Flash Drive Silicon Power Blaze B32 64GB,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B32_64GB-4488113.html
USB Flash Drive OltraMax 230 128GB,USB 2.0,128 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_230_128GB-4488206.html
USB Flash Drive OltraMax 250 128GB,USB 2.0,128 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_250_128GB-4488207.html
USB Flash Drive OltraMax 310 128GB,USB 2.0,128 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_310_128GB-4488215.html
USB Flash Drive Transcend JetFlash 930C 128Gb,USB 3.2 Gen 1/Type-C,128 Гб,420 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_930C_128Gb-4489093.html
USB Flash Drive Sandisk Ultra USB 3.0 512Gb,USB 3.0,512 Гб,100 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/Sandisk_Ultra_USB_30_512Gb-4489160.html
USB Flash Drive Hoco UD9 64GB,USB 2.0,64 Гб,25 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD9_64GB-4489172.html
USB Flash Drive Kingston DataTraveler Exodia 64GB,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Exodia_64GB-4489177.html
USB Flash Drive Netac U182 64GB,USB 3.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U182_64GB-4489184.html
USB Flash Drive Netac U336S 64GB NT03U336S-064G-30BK,USB 3.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U336S_64GB_NT03U336S_064G_30BK-4489186.html
USB Flash Drive SanDisk iXpand Luxe 64GB,USB 3.1 Type-C/Lightning,64 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_iXpand_Luxe_64GB-4489192.html
USB Flash Drive Netac U278 64GB NT03U278N-064G-30PN,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_64GB_NT03U278N_064G_30PN-4489193.html
USB Flash Drive SanDisk iXpand Go 256GB,USB 3.2 Gen 1/Lightning,256 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_iXpand_Go_256GB-4489204.html
USB Flash Drive SanDisk Ultra Dual Type-C 64GB SDDDC2-064G-G46,USB 3.2 Gen 1/Type-C,64 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Type_C_64GB_SDDDC2_064G_G46-4489228.html
USB Flash Drive SanDisk Ultra USB Type-C 32GB SDCZ460-032G-G46,USB 3.2 Gen 1 Type-C,32 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_USB_Type_C_32GB_SDCZ460_032G_G46-4489233.html
USB Flash Drive GoodRAM UME2 64GB,USB 2.0,64 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME2_64GB-4489240.html
USB Flash Drive GoodRAM UME3 16GB,USB 3.2 Gen 1,16 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME3_16GB-4489242.html
USB Flash Drive GoodRAM UME3 64GB,USB 3.2 Gen 1,64 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME3_64GB-4489243.html
USB Flash Drive GoodRAM UME3 32GB,USB 3.2 Gen 1,32 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME3_32GB-4489244.html
USB Flash Drive GoodRAM UME3 Eco Friendly 32GB,USB 3.2 Gen 1,32 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME3_Eco_Friendly_32GB-4489245.html
USB Flash Drive Hikvision HS-USB-M200 USB3.0 32GB,USB 3.2 Gen 1,32 Гб,80 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M200_USB30_32GB-4489254.html
USB Flash Drive Hikvision HS-USB-M200R USB2.0 64GB,USB 2.0,64 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M200R_USB20_64GB-4489260.html
USB Flash Drive Hikvision HS-USB-M200S USB2.0 64GB,USB 2.0,64 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M200S_USB20_64GB-4489261.html
USB Flash Drive Hikvision HS-USB-M200S USB2.0 32GB,USB 2.0,32 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M200S_USB20_32GB-4489262.html
USB Flash Drive Netac U352 16GB NT03U352N-016G-30PN,USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U352_16GB_NT03U352N_016G_30PN-4489263.html
USB Flash Drive Netac U336 32GB NT03U336S-032G-30BK,USB 3.2 Gen 1,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U336_32GB_NT03U336S_032G_30BK-4489264.html
USB Flash Drive Netac U336 16GB NT03U336S-016G-30BK,USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U336_16GB_NT03U336S_016G_30BK-4489265.html
USB Flash Drive Netac U278 16GB NT03U278N-016G-20PN,USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_16GB_NT03U278N_016G_20PN-4489266.html
USB Flash Drive Netac U197 16GB NT03U197N-016G-20BK,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U197_16GB_NT03U197N_016G_20BK-4489269.html
USB Flash Drive Netac U182 16GB,USB 3.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U182_16GB-4489271.html
USB Flash Drive Netac U116 16GB NT03U116N-016G-30WH,USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U116_16GB_NT03U116N_016G_30WH-4489273.html
USB Flash Drive Netac U116 128GB NT03U116N-128G-30WH,USB 3.2 Gen 1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U116_128GB_NT03U116N_128G_30WH-4489275.html
USB Flash Drive Netac U505 32GB NT03U505N-032G-20BK,USB 2.0,32 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U505_32GB_NT03U505N_032G_20BK-4489277.html
USB Flash Drive Netac U352 64GB NT03U352N-064G-20PN,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U352_64GB_NT03U352N_064G_20PN-4489278.html
USB Flash Drive Netac U351 32GB NT03U351N-032G-20BK,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U351_32GB_NT03U351N_032G_20BK-4489281.html
USB Flash Drive Netac U326 32GB NT03U326N-032G-20PN,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U326_32GB_NT03U326N_032G_20PN-4489282.html
USB Flash Drive Netac U278 32GB NT03U278N-032G-20PN,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_32GB_NT03U278N_032G_20PN-4489285.html
USB Flash Drive Netac U278 64GB NT03U278N-064G-20PN,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_64GB_NT03U278N_064G_20PN-4489288.html
USB Flash Drive Netac U278 32GB NT03U278N-032G-30PN,USB 3.2 Gen 1,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_32GB_NT03U278N_032G_30PN-4489289.html
USB Flash Drive Netac U278 128GB NT03U278N-128G-30PN,USB 3.2 Gen 1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_128GB_NT03U278N_128G_30PN-4489293.html
USB Flash Drive Netac U185 USB 2.0 32GB NT03U185N-032G-20WH,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U185_USB_20_32GB_NT03U185N_032G_20WH-4489299.html
USB Flash Drive Netac U116 32GB NT03U116N-032G-30WH,USB 3.2 Gen 1,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U116_32GB_NT03U116N_032G_30WH-4489306.html
USB Flash Drive Netac U116 32GB NT03U116N-032G-20WH,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U116_32GB_NT03U116N_032G_20WH-4489307.html
USB Flash Drive Netac U326 8GB NT03U326N-008G-20PN,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U326_8GB_NT03U326N_008G_20PN-4489310.html
USB Flash Drive Netac U278 8GB NT03U278N-008G-20PN,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U278_8GB_NT03U278N_008G_20PN-4489311.html
USB Flash Drive Mirex Mario 32GB,USB 2.0,32 Гб,33 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Mario_32GB-4489316.html
USB Flash Drive Mirex SWIVEL RUBBER 32GB,USB 2.0,32 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_SWIVEL_RUBBER_32GB-4489329.html
USB Flash Drive Mirex SWIVEL RUBBER 64GB,USB 2.0,64 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_SWIVEL_RUBBER_64GB-4489330.html
USB Flash Drive Netac U116 64GB NT03U116N-064G-30WH,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U116_64GB_NT03U116N_064G_30WH-4489332.html
USB Flash Drive Netac U275 16GB NT03U275N-016G-20SL,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U275_16GB_NT03U275N_016G_20SL-4489334.html
USB Flash Drive Netac U275 64GB NT03U275N-064G-20SL,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U275_64GB_NT03U275N_064G_20SL-4489338.html
USB Flash Drive Netac U326 16GB NT03U326N-016G-20PN,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U326_16GB_NT03U326N_016G_20PN-4489339.html
USB Flash Drive Netac U336S 128GB NT03U336S-128G-30BK,USB 3.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U336S_128GB_NT03U336S_128G_30BK-4489343.html
USB Flash Drive Netac U351 128GB NT03U351N-128G-20BK,USB 2.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U351_128GB_NT03U351N_128G_20BK-4489346.html
USB Flash Drive Netac U351 16GB NT03U351N-016G-30BK,USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U351_16GB_NT03U351N_016G_30BK-4489349.html
USB Flash Drive Netac U351 64GB NT03U351N-064G-30BK,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U351_64GB_NT03U351N_064G_30BK-4489350.html
USB Flash Drive Netac U505 16GB NT03U505N-016G-20BK,USB 2.0,16 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U505_16GB_NT03U505N_016G_20BK-4489353.html
USB Flash Drive Netac U782C 32GB NT03U782C-032G-30PN,USB 3.2 Gen 1/Type-C,32 Гб,110 Мб/с,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U782C_32GB_NT03U782C_032G_30PN-4489354.html
USB Flash Drive Perfeo E01 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/perfeo/Perfeo_E01_64GB-4490317.html
USB Flash Drive Transcend JetFlash 790 512Gb,USB 3.2 Gen 1,512 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_790_512Gb-4490320.html
USB Flash Drive SanDisk iXpand Luxe 256GB,USB 3.1 Type-C/Lightning,256 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_iXpand_Luxe_256GB-4490322.html
USB Flash Drive Netac U352 128GB NT03U352N-128G-20PN,USB 2.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U352_128GB_NT03U352N_128G_20PN-4490326.html
USB Flash Drive Netac U351 64GB NT03U351N-064G-20BK,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U351_64GB_NT03U351N_064G_20BK-4490329.html
USB Flash Drive SmartBuy Paean 64GB,USB 2.0,64 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Paean_64GB-4490334.html
USB Flash Drive Netac U352 32GB NT03U352N-032G-20PN,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U352_32GB_NT03U352N_032G_20PN-4490367.html
USB Flash Drive Acer BL.9BWWA.557 32GB,USB 3.2 Gen 1,32 Гб,100 Мб/с,https://komp.1k.by/storage-usbflashdrives/acer/Acer_BL9BWWA557_32GB-4669652.html
USB Flash Drive Goodram ODA3 64GB (ODA3-0640S0R11),USB 3.2 Gen 1,64 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/Goodram_ODA3_64GB_ODA3_0640S0R11-4669661.html
USB Flash Drive Kingston DataTraveler Exodia M 64GB,USB 3.2 Gen 1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Exodia_M_64GB-4669703.html
USB Flash Drive Kingston DataTraveler Max Type-A (DTMAXA/512GB) 512GB,USB 3.2 Gen 2,512 Гб,1 000 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Max_Type_A_DTMAXA512GB_512GB-4669710.html
USB Flash Drive Kingston DataTraveler Max Type-A (DTMAXA/256GB) 256GB,USB 3.2 Gen 2,256 Гб,1 000 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Max_Type_A_DTMAXA256GB_256GB-4669711.html
USB Flash Drive Netac UM1 USB 3.2 Highspeed Flash Drive 128GB,USB 3.2 Gen 2,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_UM1_USB_32_Highspeed_Flash_Drive_128GB-4669721.html
USB Flash Drive Netac U185 USB 3.0 FlashDrive 16GB с индикатором,USB 3.2 Gen 2,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U185_USB_30_FlashDrive_16GB_s_indikatorom-4669732.html
USB Flash Drive Netac U505 USB 3.0 FlashDrive Netac 16GB,USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U505_USB_30_FlashDrive_Netac_16GB-4669735.html
USB Flash Drive SanDisk iXpand Flip 64GB,USB 3.2 Gen 1/Lightning,64 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_iXpand_Flip_64GB-4669739.html
USB Flash Drive SanDisk iXpand Go 64GB (SDIX60N-064G-GN6NN),USB 3.2 Gen 1/Lightning,64 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_iXpand_Go_64GB_SDIX60N_064G_GN6NN-4669740.html
USB Flash Drive SanDisk iXpand Luxe 128GB,USB 3.1 Type-C/Lightning,128 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_iXpand_Luxe_128GB-4669742.html
USB Flash Drive SmartBuy Quartz 64GB (SB64GBQZ-K),USB 2.0,64 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Quartz_64GB_SB64GBQZ_K-4669750.html
USB Flash Drive GoodRAM UME3 Eco Friendly 128GB,USB 3.2 Gen 1,128 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME3_Eco_Friendly_128GB-4669827.html
USB Flash Drive GoodRAM UME3 Eco Friendly 64GB,USB 3.2 Gen 1,64 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UME3_Eco_Friendly_64GB-4669828.html
USB Flash Drive SmartBuy Dark Grey 16GB (SB16GBGS-DG),USB 3.2 Gen 1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Dark_Grey_16GB_SB16GBGS_DG-4669848.html
USB Flash Drive SmartBuy Quartz 4GB (SB4GBQZ-K),USB 2.0,4 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Quartz_4GB_SB4GBQZ_K-4669854.html
USB Flash Drive SmartBuy Glossy Green 8GB (SB8GBGS-G),USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Green_8GB_SB8GBGS_G-4669858.html
USB Flash Drive SmartBuy Glossy Black 8GB (SB8GBGS-K),USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Black_8GB_SB8GBGS_K-4669860.html
USB Flash Drive SmartBuy Glossy Green 32GB (SB32GBGS-G),USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Green_32GB_SB32GBGS_G-4669863.html
USB Flash Drive SmartBuy Glossy Black 32GB (SB32GBGS-K),USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Black_32GB_SB32GBGS_K-4669864.html
USB Flash Drive Hoco UD10 USB3.0 16Gb,USB 3.2 Gen 1 Type-C,16 Гб,120 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD10_USB30_16Gb-4669879.html
USB Flash Drive Hoco UD11 128GB,USB 3.2 Gen 1,128 Гб,100 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD11_128GB-4669880.html
USB Flash Drive Hoco UD11 64GB,USB 3.2 Gen 1,64 Гб,100 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD11_64GB-4669882.html
USB Flash Drive Hoco UD4 16Gb,USB 2.0,16 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD4_16Gb-4669941.html
USB Flash Drive Hoco UD5 Wisdom 64GB,USB 3.0,64 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD5_Wisdom_64GB-4669946.html
USB Flash Drive Hoco UD6 128GB,USB 2.0,128 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD6_128GB-4669947.html
USB Flash Drive Hoco UD6 32GB,USB 2.0,32 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD6_32GB-4669949.html
USB Flash Drive Hoco UD8 32GB,USB 3.2 Gen 1 Type-C,32 Гб,100 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD8_32GB-4669955.html
USB Flash Drive Hoco UD9 4GB,USB 2.0,4 Гб,25 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD9_4GB-4669959.html
USB Flash Drive Hoco UD9 8GB,USB 2.0,8 Гб,25 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD9_8GB-4669961.html
USB Flash Drive Hoco UD9 32GB,USB 2.0,32 Гб,25 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD9_32GB-4669964.html
USB Flash Drive Hoco UD9 128GB,USB 2.0,128 Гб,25 Мб/с,https://komp.1k.by/storage-usbflashdrives/hoco/Hoco_UD9_128GB-4669965.html
USB Flash Drive Kingston DataTraveler Micro USB 3.2 Gen 1 64GB,USB 3.2 Gen 2,64 Гб,200 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Micro_USB_32_Gen_1_64GB-4669971.html
USB Flash Drive Kingston DataTraveler Micro USB 3.2 Gen 1 128GB,USB 3.2 Gen 2,128 Гб,200 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Micro_USB_32_Gen_1_128GB-4669978.html
USB Flash Drive Kingston DataTraveler MicroDuo 3C USB 3.2 Gen 1 128GB,USB 3.2 Gen 1,128 Гб,200 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_MicroDuo_3C_USB_32_Gen_1_128GB-4669991.html
USB Flash Drive Netac UM1 USB3.2 Highspeed Flash Drive 32GB,USB 3.2 Gen 2,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_UM1_USB32_Highspeed_Flash_Drive_32GB-4670008.html
USB Flash Drive Netac UM1 USB3.2 Highspeed Flash Drive 16GB,USB 3.2 Gen 2,16 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_UM1_USB32_Highspeed_Flash_Drive_16GB-4670010.html
USB Flash Drive ADATA UV250 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV250_64GB-4727082.html
USB Flash Drive ADATA UV250 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV250_32GB-4727083.html
USB Flash Drive GoodRAM UPI2 64GB,USB 2.0,64 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UPI2_64GB-4727087.html
USB Flash Drive Hikvision HS-USB-M200R USB2.0 16GB,USB 2.0,16 Гб,30 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M200R_USB20_16GB-4727092.html
USB Flash Drive Hikvision HS-USB-M200S USB2.0 16GB,USB 2.0,16 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M200S_USB20_16GB-4727093.html
USB Flash Drive Hikvision HS-USB-M210P/16G/U3 16GB,USB 3.2 Gen 1,16 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/hikvision/Hikvision_HS_USB_M210P16GU3_16GB-4727095.html
USB Flash Drive Kingston DataTraveler 80 M 64GB,USB 3.2 Gen 1 Type-C,128 Гб,200 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_80_M_64GB-4727101.html
USB Flash Drive Kingston DataTraveler Exodia Onyx 256GB,USB 3.2 Gen 1,256 Гб,,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Exodia_Onyx_256GB-4727105.html
USB Flash Drive MAXVI MK 128GB,USB 2.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MK_128GB-4727109.html
USB Flash Drive MAXVI MK 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MK_16GB-4727110.html
USB Flash Drive MAXVI MK 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MK_32GB-4727111.html
USB Flash Drive MAXVI MM 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MM_64GB-4727118.html
USB Flash Drive MAXVI MR 128GB,USB 2.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MR_128GB-4727119.html
USB Flash Drive MAXVI MR 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MR_32GB-4727123.html
USB Flash Drive MAXVI MR 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MR_64GB-4727125.html
USB Flash Drive MAXVI MR 8GB,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_MR_8GB-4727126.html
USB Flash Drive MAXVI SF 128GB,USB 2.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_SF_128GB-4727128.html
USB Flash Drive MAXVI SF 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_SF_16GB-4727131.html
USB Flash Drive MAXVI SF 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_SF_32GB-4727132.html
USB Flash Drive MAXVI SF 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_SF_64GB-4727133.html
USB Flash Drive MAXVI SF 8GB,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/maxvi/MAXVI_SF_8GB-4727134.html
USB Flash Drive Netac U182 128GB,USB 3.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U182_128GB-4727197.html
USB Flash Drive Netac U182 512GB,USB 3.0,512 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U182_512GB-4727198.html
USB Flash Drive Netac UA31 128GB,USB 3.2 Gen 2,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_UA31_128GB-4727199.html
USB Flash Drive Netac UA31 64GB,USB 3.2 Gen 2,64 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_UA31_64GB-4727200.html
USB Flash Drive Netac UA31 256GB,USB 3.2 Gen 2,256 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_UA31_256GB-4727201.html
USB Flash Drive Netac U185 USB 3.0 128GB NT03U185N-128G-30WH,USB 3.2 Gen 1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U185_USB_30_128GB_NT03U185N_128G_30WH-4727203.html
USB Flash Drive Netac U185 USB 3.0 32GB NT03U185N-032G-30WH,USB 3.2 Gen 1,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U185_USB_30_32GB_NT03U185N_032G_30WH-4727205.html
